"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","advice_for_services","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","cleanliness_advice","facility_advice","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","product_advice"
12,2025-04-05 18:35:56,2025-04-05 18:37:57,"digital business","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","lebih banyak menu makanannya","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","setuju","setuju","-"
14,2025-04-05 18:38:42,2025-04-05 18:42:44,"computer science","iya","binus@bandung","3-4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","ada beberapa kios yang harganya tidak tertera","setuju","setuju","setuju","setuju","tidak setuju","setuju","setuju","untuk piring dengan sisa makanan sebaiknya lebih cepat untuk diambil","perlu wastafel untuk mencuci tangan","setuju","setuju","setuju","setuju","tidak setuju","setuju","sebaiknya alternatif makanan berat di bawah 20 ribu diperbanyak"
15,2025-04-05 18:36:07,2025-04-05 18:43:53,"computer science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","tidak ada","tong sampah diperbanyak","sangat setuju","setuju","setuju","sangat setuju","setuju","setuju","tidak ada"
16,2025-04-05 18:39:48,2025-04-05 18:44:13,"computer science","iya","binus@bandung","3-4 kali","setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","tidak ada","setuju","sangat tidak setuju","setuju","setuju","tidak merasakan","setuju","sangat tidak setuju","tidak ada","kantin kehujanan apabila sedang hujan, sehingga sulit dan repot untuk beli ataupun makan di sana. kalau boleh dapat ditambahkan penutup di atas jalan kantinnya sehingga tidak kehujanan.","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","tidak ada"
17,2025-04-05 19:11:49,2025-04-05 19:16:21,"computer science","iya","binus@malang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","tidak setuju","tidak setuju","tidak merasakan","tidak setuju","tidak merasakan","tidak setuju","perbanyak tempat sampah dan fasilitas kebersihan seperti wastafel, hand sanitizer, dll","kursi dan meja yang lebih nyaman","sangat setuju","setuju","setuju","setuju","setuju","setuju","perbanyak masakan dari berbagai daerah jadi tidak cuma kuliner jakarta aja"
18,2025-04-05 21:32:59,2025-04-05 21:35:02,"computer science","iya","binus@bandung","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak","tidak","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak"
21,2025-04-06 21:26:52,2025-04-06 21:29:18,"computer science","iya","binus@semarang","3-4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","tidak setuju","tidak ada","setuju","setuju","setuju","setuju","tidak setuju","setuju","tidak setuju","tidak ada","tidak ada","setuju","tidak merasakan","setuju","setuju","setuju","setuju","harganya tidak ramah"
22,2025-04-06 21:29:18,2025-04-06 21:32:03,"computer science","iya","binus@semarang","3-4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","bisa dibuat aplikasi pesan online kantin, jadi bisa pesan dari kelas tinggal ambil waktu istirahat. memudahkan mahasiswa yang jadwalnya padat","setuju","setuju","tidak merasakan","setuju","tidak setuju","setuju","tidak setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
23,2025-04-06 21:32:46,2025-04-06 21:36:00,"computer science","iya","binus@semarang","1-2 kali","tidak merasakan","sangat tidak setuju","sangat setuju","sangat setuju","sangat tidak setuju","setuju","sangat setuju","lebih sering dibersihkan supaya tempatnya bisa digunakan oleh orang lain","setuju","setuju","setuju","setuju","sangat tidak setuju","setuju","setuju","lebih sering dibersihkan","tidak ada","setuju","setuju","setuju","setuju","tidak setuju","setuju","tidak ada"
24,2025-04-06 22:42:04,2025-04-06 22:46:10,"computer science","iya","binus@semarang",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","tidak ada","tidak merasakan","tidak setuju","tidak merasakan","setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","kalo bisa jangan outdoor 🜯","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada"
